column_values,Freq
firepower and speed,38.5
gloom and foreboding,100
education and industrialization,97.6
commercialism and materialism,52.3
abasement and humiliation,100
intonation and phrasing,99.2
alibis and excuses,28.1
color and imagery,47.6
blame and hate,10.8
liberalism and progress,29.9
disdain and indifference,84.5
gaiety and spirit,84.1
caresses and endearments,39.6
flight and terror,99.6
letters and magazines,58.7
men and women,50.3
black and white,100
day and night,0.4
boys and girls,41.7
left and right,62.9
female and male,16.4
mr and mrs,100
father and mother,49.5
goods and services,100
north and south,100
research and development,100
time and place,100
life and death,100
brothers and sisters,50.1
husband and wife,96.7
bread and butter,100
