binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-17.033065497875214,-17.379608631134033,0.5857790474950564,0.3465431332588196
black and white,-13.82968983054161,-17.303317189216614,0.9699280006708134,3.473627358675003
day and night,-16.973261445760727,-17.51892852783203,0.6331297379072295,0.5456670820713043
boys and girls,-17.794298827648163,-19.18305277824402,0.8003932439523017,1.3887539505958557
left and right,-16.38827332854271,-18.005505084991455,0.834413001282233,1.6172317564487457
female and male,-18.699040949344635,-16.908924385905266,0.14305843305669783,-1.7901165634393692
father and mother,-19.354788780212402,-18.490976095199585,0.29654338247769146,-0.8638126850128174
goods and services,-17.235396206378937,-21.091554880142212,0.9792889358215325,3.856158673763275
north and south,-18.08649057149887,-20.448211431503296,0.9138613659989034,2.361720860004425
development and research,-21.1680908203125,-16.702508449554443,0.011367296562295718,-4.465582370758057
place and time,-19.78444004058838,-17.246020317077637,0.07320832109718967,-2.538419723510742
death and life,-18.86099362373352,-16.505022168159485,0.08659229826921051,-2.3559714555740356
brothers and sisters,-17.57519181072712,-19.882561564445496,0.9094855623651448,2.307369753718376
husband and wife,-18.143615186214447,-20.216381311416626,0.888227874961616,2.072766125202179
gas and oil,-19.399487733840942,-15.51753157377243,0.020194255287789235,-3.881956160068512
pepper and salt,-19.364737510681152,-15.715670436620712,0.025355748264828264,-3.64906707406044
fall and rise,-20.49470567703247,-17.487210750579834,0.047088423647273676,-3.0074949264526367
arms and legs,-18.59770143032074,-20.414302825927734,0.8601578215154033,1.8166013956069946
fruits and vegetables,-15.860110253095627,-17.81580102443695,0.8760658378569298,1.9556907713413239
arts and sciences,-19.539729714393616,-22.776887893676758,0.9622089082031775,3.237158179283142
gentlemen and ladies,-20.99185359477997,-15.83563420176506,0.005730420898197262,-5.156219393014908
feelings and thoughts,-20.642688512802124,-19.5629141330719,0.2535487155782525,-1.0797743797302246
diagnosis and treatment,-17.93705654144287,-21.971320867538452,0.9826091004471804,4.034264326095581
groups and individuals,-22.44031012058258,-20.468294382095337,0.12217254140799563,-1.9720157384872437
knowledge and skills,-18.87217092514038,-19.83023989200592,0.7227350135886013,0.9580689668655396
heart and mind,-19.53043293952942,-21.880792379379272,0.912962793512339,2.3503594398498535
influence and power,-21.754765272140503,-20.49862289428711,0.22163867512313376,-1.2561423778533936
Africa and Asia,-17.12893795967102,-17.469335556030273,0.584287100610573,0.34039759635925293
addresses and names,-22.17196750640869,-18.246752738952637,0.019355853508420298,-3.9252147674560547
poetry and prose,-19.034435272216797,-19.20941472053528,0.5436335884494135,0.17497944831848145
forefinger and thumb,-23.457734286785126,-20.415041636675596,0.04553400313039125,-3.0426926501095295
minerals and vitamins,-19.465340971946716,-17.570147693157196,0.13065346824677082,-1.8951932787895203
fall and winter,-17.715568244457245,-21.689390659332275,0.9815455414410664,3.9738224148750305
light and shadow,-17.779198169708252,-19.49961519241333,0.8481825437026614,1.7204170227050781
honey and milk,-21.5797381401062,-17.606315851211548,0.0184617077942136,-3.9734222888946533
nose and throat,-22.781070947647095,-23.593635082244873,0.6926556365206844,0.8125641345977783
anger and fear,-20.38680124282837,-20.701662063598633,0.5780712867607013,0.31486082077026367
head and tail,-19.941081047058105,-22.392879009246826,0.920692832933329,2.4517979621887207
novels and stories,-20.767985582351685,-22.377777099609375,0.8333824393258372,1.6097915172576904
sunrise and sunset,-18.595755398273468,-20.66876983642578,0.8882525248756427,2.0730144381523132
sympathy and understanding,-22.90878677368164,-26.058146953582764,0.9588835037020513,3.149360179901123
shoes and socks,-18.172250747680664,-19.154372692108154,0.7275290535331694,0.9821219444274902
equipment and personnel,-22.211005926132202,-21.499955654144287,0.3293668100219753,-0.711050271987915
eyes and face,-20.950830221176147,-20.89032506942749,0.4848783249928553,-0.06050515174865723
ink and paper,-19.41606616973877,-18.52002215385437,0.2898641312534445,-0.8960440158843994
muscles and nerves,-21.688380479812622,-23.93932294845581,0.9047317995108944,2.2509424686431885
charts and maps,-18.891378045082092,-18.268002033233643,0.34901402016235406,-0.6233760118484497
elbows and knees,-20.052523851394653,-20.397352933883667,0.5853630858084251,0.34482908248901367
Christmas and Easter,-17.926680088043213,-19.396993160247803,0.8131049668008014,1.4703130722045898
nature and size,-21.750099182128906,-21.97979474067688,0.5571727406780996,0.22969555854797363
gums and teeth,-22.349671602249146,-20.343525171279907,0.11855909512862665,-2.0061464309692383
chairs and sofas,-20.887202978134155,-19.56201469898224,0.20995639411901704,-1.3251882791519165
characters and situations,-23.740211486816406,-25.340469360351563,0.8320544234312832,1.6002578735351563
joy and pleasure,-22.51934313774109,-22.18966054916382,0.41831785625046947,-0.3296825885772705
Thursday and Tuesday,-23.274956703186035,-18.906940460205078,0.012517683768245415,-4.368016242980957
barley and oats,-21.697749376296997,-21.475589990615845,0.444687461572016,-0.22215938568115234
beauty and dignity,-23.337559938430786,-23.764963388442993,0.6052534661213028,0.42740345001220703
boats and ships,-19.61993098258972,-19.410101413726807,0.4477342322659337,-0.20982956886291504
misery and pain,-22.959206104278564,-21.763519048690796,0.23224335374871316,-1.1956870555877686
bones and skulls,-21.6457781791687,-20.31017804145813,0.2082345454881358,-1.3356001377105713
dairy and poultry,-23.154592037200928,-22.8552188873291,0.42571072905845087,-0.29937314987182617
being and existence,-20.788889169692993,-26.983356475830078,0.9979634659613595,6.194467306137085
radar and radio,-21.387929677963257,-21.261266946792603,0.46837658495645756,-0.1266627311706543
humility and pride,-23.4681396484375,-22.090349316596985,0.2013641166100806,-1.3777903318405151
pitch and volume,-21.607665061950684,-23.91921615600586,0.9098291880280012,2.311551094055176
skirt and sweater,-22.24036431312561,-21.671440839767456,0.36148526484414417,-0.5689234733581543
linen and silk,-21.641231060028076,-20.867752075195313,0.3157270129258072,-0.7734789848327637
checks and money,-21.09678626060486,-24.186251640319824,0.956456104705671,3.089465379714966
calluses and corns,-23.61660156492144,-20.59787255525589,0.04658689500657344,-3.018729009665549
action and motion,-22.669638633728027,-24.08078670501709,0.8039469614661466,1.4111480712890625
brain and intelligence,-22.856481552124023,-24.382616996765137,0.821440179847295,1.5261354446411133
conduct and manners,-24.81489896774292,-23.18731689453125,0.16416186224479493,-1.62758207321167
completeness and unity,-27.03093409538269,-25.433778524398804,0.16837953858320354,-1.5971555709838867
hostility and indifference,-25.882824420928955,-27.18262243270874,0.7858009867931903,1.2997980117797852
depth and force,-25.62816286087036,-26.68238353729248,0.7415845608971509,1.0542206764221191
hours and miles,-23.596752643585205,-23.483216285705566,0.4716463617138103,-0.11353635787963867
movements and speech,-27.005407333374023,-27.30199360847473,0.5736077920713372,0.296586275100708
schools and synagogues,-25.011875386349857,-24.616974480450153,0.402538066190003,-0.3949009058997035
arrangers and composers,-25.426416635513306,-23.414770547300577,0.11798556993258466,-2.0116460882127285
happiness and laughter,-22.130645275115967,-22.725265979766846,0.6444246461546701,0.5946207046508789
diagrams and sketches,-22.329965829849243,-22.288419246673584,0.48961484799675825,-0.04154658317565918
pail and shovel,-20.809410393238068,-23.212228372693062,0.9170419362747496,2.402817979454994
candies and cookies,-22.304428577423096,-21.613349676132202,0.33379310927561817,-0.6910789012908936
county and village,-24.29421639442444,-22.8910551071167,0.19731494206855107,-1.4031612873077393
charm and variety,-25.844276428222656,-25.505670070648193,0.41614804914229797,-0.3386063575744629
bouquets and wreaths,-24.110311776399612,-23.10568492836319,0.268032700942286,-1.0046268480364233
beech and elm,-23.82458734512329,-25.056023634970188,0.7740698597157087,1.2314362898468971
complexity and obscurity,-25.538684893399477,-26.4992516040802,0.7232352556957631,0.9605667106807232
devotion and effort,-26.900870323181152,-25.395397186279297,0.18161064325708523,-1.5054731369018555
alibis and excuses,-23.484705209732056,-25.82296879030764,0.9119968222101922,2.3382635805755854
body and mind,-18.23789691925049,-19.018808007240295,0.685876441033263,0.7809110879898071
man and woman,-16.855498790740967,-19.162274837493896,0.9094366755894825,2.3067760467529297
law and order,-16.067678689956665,-23.460509300231934,0.9993847279754795,7.3928306102752686
cause and effect,-15.994105130434036,-21.93966317176819,0.9973893918133833,5.945558041334152
radio and television,-18.622674345970154,-19.052922129631042,0.6059328353295558,0.43024778366088867
feet and hands,-20.643844604492188,-17.190624833106995,0.030672983828120767,-3.453219771385193
money and time,-19.809017181396484,-17.64963459968567,0.10345770558363646,-2.1593825817108154
blood and flesh,-21.513466835021973,-18.316973745822906,0.039297907542687124,-3.196493089199066
god and man,-20.156029224395752,-22.671874523162842,0.9252451958193922,2.51584529876709
brother and sister,-17.61898824572563,-20.0034339427948,0.9156334942069304,2.384445697069168
father and son,-16.934146612882614,-21.992172241210938,0.9936820696534031,5.058025628328323
men and officers,-24.915602207183838,-19.721553444862366,0.005518865786248369,-5.194048762321472
south and west,-19.10524618625641,-20.373611569404602,0.7804628000551085,1.2683653831481934
error and trial,-26.66937232017517,-17.67554759979248,1.2415883471465308e-4,-8.99382472038269
arts and crafts,-16.84682810306549,-21.883758306503296,0.993548243517985,5.036930203437805
pressure and temperature,-19.37333583831787,-18.42480754852295,0.2791808910805417,-0.9485282897949219
days and nights,-18.817001938819885,-20.565128564834595,0.8517163589320434,1.7481266260147095
land and sea,-17.604281067848206,-20.217628002166748,0.9317156415324713,2.6133469343185425
north and west,-19.448684692382813,-20.68343949317932,0.7746496919741185,1.2347548007965088
spring and summer,-16.769559860229492,-21.664552927017212,0.9925716325018689,4.89499306678772
magazines and newspapers,-19.17362141609192,-17.778944969177246,0.19866223807591682,-1.3946764469146729
hands and knees,-20.02371120452881,-22.59368324279785,0.9289038493035383,2.569972038269043
moon and sun,-20.42066764831543,-18.869925498962402,0.1749791045869653,-1.5507421493530273
fathers and mothers,-21.18873131275177,-19.30770707130432,0.1322712713499355,-1.8810242414474487
city and county,-19.311060667037964,-20.37833309173584,0.7440778604564621,1.067272424697876
ears and eyes,-21.48122477531433,-19.408976793289185,0.11182357618417176,-2.0722479820251465
college and school,-22.989011526107788,-19.63596248626709,0.03379546121300641,-3.3530490398406982
college and university,-19.55068850517273,-19.308053135871887,0.43963700795765687,-0.24263536930084229
dark and light,-18.652419090270996,-17.152172327041626,0.1823887228303155,-1.5002467632293701
future and past,-20.10762667655945,-17.34063881635666,0.05913437902608831,-2.7669878602027893
evening and morning,-20.89120602607727,-18.911417186260223,0.12134134948917445,-1.9797888398170471
ice and snow,-17.829482436180115,-16.947149395942688,0.29269454903856346,-0.8823330402374268
husbands and wives,-19.23379385471344,-21.599994897842407,0.914213387205016,2.3662010431289673
boys and men,-20.130695104599,-20.474287748336792,0.5850629542327513,0.34359264373779297
bread and butter,-16.467036843299866,-21.38547134399414,0.9927424899305259,4.918434500694275
head and shoulders,-17.306693196296692,-21.81075406074524,0.989057096141969,4.504060864448547
rock and roll,-16.494030594825745,-23.62727427482605,0.9992025101797669,7.133243680000305
testament and will,-23.29162621498108,-19.084943056106567,0.014677068037528699,-4.206683158874512
engineers and scientists,-20.639543294906616,-19.642340540885925,0.26949174864264824,-0.9972027540206909
