binom,Alpha Probs,Nonalpha Probs,ProbAandB
ability and age,-59.1120707988739,-56.714509069919586,0.08335881591822326
ability and desire,-54.09292211383581,-56.17687310278416,0.8893334859651736
ability and strength,-37.44557531923056,-36.69989002868533,0.3217621803524179
action and character,-66.98796322289854,-68.05826669279486,0.74465462312651
actions and feelings,-54.02426475286484,-51.79315251111984,0.09699118284927957
addresses and names,-78.31612898595631,-70.72859837301075,5.064741787056817e-4
adventure and romance,-51.86766093969345,-52.03498846292496,0.5417345508151694
Africa and Asia,-68.83908399939537,-67.63208982348442,0.23023332895301196
age and day,-80.31780236959457,-63.66416284465231,5.853508121955973e-8
agencies and individuals,-31.14792948961258,-34.10104137659073,0.9504103589962305
aggression and hostility,-61.05831832438707,-61.51692720502615,0.6126841121211976
agreements and contracts,-62.34478826634586,-63.01405240409076,0.6613383677563275
aircraft and ships,-46.941251784563065,-43.61195349693298,0.03457964853020923
ammunition and guns,-73.90942400693893,-68.01955306529999,0.0027596968190924972
anger and anxiety,-44.349179565906525,-46.92381411790848,0.9292111535539695
anger and fear,-65.47888404689729,-66.68603374063969,0.7697942316850276
anger and hatred,-54.48341178894043,-54.78514623641968,0.574866462069487
anger and indignation,-57.43373054265976,-58.33953416347504,0.7121406868106223
anguish and pain,-49.011026032269,-48.47500456124544,0.36911357388936955
anthropology and psychology,-60.50991880893707,-59.79949793219566,0.3295058484870814
apprehension and fear,-59.48711294680834,-57.569666646420956,0.1281466077171067
Arizona and California,-73.1026154756546,-73.42718797922134,0.580438200325689
arms and hands,-71.02883373945951,-71.95309130474925,0.7159088191414616
arms and legs,-60.984682351350784,-65.78078693151474,0.9918058312493057
arts and crafts,-61.857220232486725,-69.8786581158638,0.999671760219005
arts and sciences,-90.45219777198508,-93.0136472187005,0.9283389431522666
attractions and repulsions,-57.20552712678909,-56.07014361023903,0.24316896087937195
aunt and uncle,-63.673318326473236,-67.65611118078232,0.9817073310444061
aunts and uncles,-51.82034511863776,-60.27582085877657,0.9997873128922303
back and shoulders,-51.32507776468992,-50.7660081461072,0.3637627593433674
bacon and eggs,-88.06618514889851,-89.19438162678853,0.755505911924276
