binom,Alpha Probs,Nonalpha Probs,ProbAandB
ability and age,-55.434580117464066,-50.13803771138191,0.004983918818538446
ability and desire,-52.288151152431965,-53.37474085390568,0.7477389963569028
ability and strength,-41.095897346735,-36.200297214090824,0.0074238928263075455
action and character,-63.00661333091557,-63.45216997154057,0.6095822675696106
actions and feelings,-46.04969906806946,-45.65835005044937,0.40339259439911457
addresses and names,-75.81320294551551,-67.80819952301681,3.3367698118171523e-4
adventure and romance,-50.875850439071655,-50.98552179336548,0.5273903902171666
Africa and Asia,-59.88346403837204,-59.891007363796234,0.5018858224138394
age and day,-67.71878411620855,-53.78961943183094,8.925658210432935e-7
agencies and individuals,-31.24123501777649,-31.15893965959549,0.4794377640015138
aggression and hostility,-60.15879839658737,-59.1603025496006,0.2692372585635045
agreements and contracts,-57.344743887893856,-58.0688365502283,0.6735076117589928
aircraft and ships,-48.33578670024872,-43.54435634613037,0.008232243757525855
ammunition and guns,-63.21677243709564,-57.61031338572502,0.0036606067211243823
anger and anxiety,-44.026004791259766,-43.937147200107574,0.4778002071461197
anger and fear,-61.33741032332182,-60.2656291029416,0.2550644929164482
anger and hatred,-53.134028255939484,-54.6037260890007,0.813011453801383
anger and indignation,-53.136546432971954,-54.98404484987259,0.8638331208514225
anguish and pain,-46.22594496328384,-45.58708056528121,0.34550328887004317
anthropology and psychology,-53.419448375701904,-52.17968425899744,0.22447704730154946
apprehension and fear,-58.02065640222281,-56.66809367015958,0.20545171227619144
Arizona and California,-66.69536542892456,-67.00351637601852,0.5764338642480019
arms and hands,-65.49937863647938,-61.249357962980866,0.014063340390672877
arms and legs,-53.368138641119,-53.18994298577309,0.45556859574717773
arts and crafts,-51.68704777956009,-58.75644215941429,0.9991499749738267
arts and sciences,-76.67728838184848,-81.1764126131311,0.9890035369887283
attractions and repulsions,-51.61814173310995,-53.55997243523598,0.8745531274895836
aunt and uncle,-52.74572026729584,-54.969956040382385,0.9024048779501601
aunts and uncles,-45.217315714633514,-51.060319502605125,0.9971082681750028
back and shoulders,-50.08443573862314,-46.27840404957533,0.021752549431881315
bacon and eggs,-62.504151183879,-67.4872579460498,0.9931939008058223
bar and grill,-41.88717848062515,-44.17364430427551,0.907749924322227
barley and oats,-62.463454365730286,-62.80619567632675,0.5848562659886529
barrels and boxes,-51.62882310897112,-49.97275922447443,0.16029108149067756
beauty and dignity,-52.15075512602925,-49.94789691641927,0.09949411442266162
beauty and truth,-57.387263894081116,-54.32405894994736,0.04465078974807721
beauty and youth,-52.19066748581827,-53.16929304599762,0.7268354123262174
being and existence,-75.61225056648254,-68.58323192596436,8.850166946956593e-4
belly and chest,-52.347177386283875,-53.03458049893379,0.6653889874647652
black and white,-53.5749591877684,-56.229271351359785,0.9342762714922438
blood and flesh,-66.39945160597563,-58.420869891764596,3.4260773990787643e-4
blood and guts,-49.05137187242508,-58.34457331895828,0.999907960570407
boats and ships,-56.02408793568611,-55.31895485520363,0.3306751419764463
bodies and faces,-53.553148090839386,-53.15771281719208,0.4024095568166069
body and face,-80.66542186588049,-73.82787103950977,0.0010715779696342453
body and head,-81.62857969105244,-78.49543423950672,0.04176055516276647
body and mind,-45.31377223879099,-46.20104155689478,0.7083263344110969
bone and flesh,-63.46364223957062,-60.30135917663574,0.040610010176546286
bone and muscle,-51.770482420921326,-50.03626620769501,0.15004907398503078
bones and skulls,-36.65616745717125,-36.2272538158868,0.3943857738131339
boots and shoes,-58.01203216612339,-56.76039303839207,0.22241652694210265
boys and girls,-30.60052800178528,-35.39537534117699,0.9917956073026298
boys and men,-35.1959533020854,-33.42449276894331,0.145360791400524
bread and butter,-61.53417661425192,-65.50983005657326,0.9815786792459694
bread and cheese,-60.3418895304203,-61.85080614686012,0.818900593959782
breakfast and dinner,-48.568466786295176,-51.70425071567297,0.9583449002162964
bride and groom,-36.91659715771675,-41.65366584062576,0.991311846074154
brother and mother,-34.76498597860336,-33.743127167224884,0.2646654847884479
brother and sister,-45.147265767503995,-47.263335721276235,0.892455309645954
brothers and sisters,-48.71036896109581,-52.49288010597229,0.9777412776422479
brush and trees,-58.96736937761307,-47.55739939212799,1.1084297732645034e-5
Burma and India,-47.7640734910965,-49.07059205323458,0.7869300022226424
cakes and pies,-60.39176017045975,-59.55708412826061,0.30265725441868657
cattle and horses,-46.87470736831892,-47.16731436655391,0.5726342491312449
cause and consequence,-61.21277310606092,-63.60533144231886,0.9162580763922722
cause and effect,-67.63442718982697,-73.42351377755404,0.9969485631158338
ceiling and walls,-48.828627452254295,-47.90881396830082,0.28499589975334594
cents and dollars,-56.32845287024975,-54.42528672516346,0.12975054871781763
chair and table,-45.24620509147644,-45.86938774585724,0.6509420471132515
chairs and sofas,-53.183751025433594,-50.81618946325034,0.08567997111382114
chairs and table,-62.14513483643532,-61.184295535087585,0.2767101842355838
characters and situations,-50.8048854470253,-55.39414519071579,0.9899418180460074
charts and maps,-88.33442662842572,-85.04730045981705,0.03601548769876555
chest and stomach,-55.062687672674656,-55.0397045314312,0.49425446759795877
child and husband,-38.59387865662575,-32.89484903216362,0.003338034086258579
child and wife,-43.88572320342064,-39.113532930612564,0.00839082444287541
childhood and infancy,-65.21883475780487,-61.661972999572754,0.027736927829311427
choice and decision,-60.73224078863859,-61.22894697636366,0.6216849614417826
Christmas and Easter,-41.40838545560837,-42.54938668012619,0.7578634176009506
church and community,-43.09536571055651,-44.52641765028238,0.8070651672468437
city and country,-40.07851327955723,-42.72617058828473,0.9338664531041333
city and county,-53.50862856209278,-56.855934634804726,0.9660165088835937
city and state,-41.21720188856125,-41.96896171569824,0.67956203572446094
clarity and precision,-52.54331684112549,-55.36986064910889,0.9440934605516772
classmates and friends,-42.692280530929565,-41.37345293164253,0.21101341653589553
closets and drawers,-48.37637990969233,-49.92744887014851,0.8250680693159024
coat and hat,-71.2698869407177,-71.61005136370659,0.584230462692255
coffee and sandwiches,-47.86965504381806,-50.46849209070206,0.930786696458666
coffee and toast,-43.592257499694824,-44.90008980035782,0.787150195269555
college and school,-44.61415219306946,-42.949145913124084,0.1590911075743133
college and university,-50.005399227142334,-50.060189604759216,0.5136941687676294
color and light,-46.64411502704024,-46.16075425967574,0.3814588436237687
color and texture,-42.53302550315857,-45.21933329105377,0.9362138468610198
colors and forms,-62.15816938877106,-64.02721118927002,0.8663473668651982
comfort and ease,-62.823405399918556,-61.490032374858856,0.20860197465465213
comings and goings,-40.795876800892074,-46.04407792127677,0.9947705246285397
command and control,-53.50757822394371,-53.734751015901566,0.5565502057937183
Concord and Lexington,-45.85352250933647,-43.659709468483925,0.10030745754638781
concrete and steel,-54.00658857822418,-52.85169208049774,0.2395958545492287
confusion and fear,-43.54350030422211,-44.760846108198166,0.7715961229691602
confusion and turmoil,-65.73940658569336,-64.93930166959763,0.31000307674951216
conscience and religion,-66.54895635694265,-67.71691446751356,0.7627757363239113
contemporary and friend,-54.90593647956848,-55.196727737784386,0.5721898349986752
corruption and crime,-52.332153141498566,-52.86363033950329,0.6298275789999761
costumes and masks,-57.77557416725904,-58.39115639589727,0.6492131298572953
cotton and tobacco,-48.106838792562485,-50.825211584568024,0.9381021147336475
council and governor,-57.048233568668365,-52.3818601667881,0.009318666325810318
counties and towns,-56.63706237077713,-55.767983853816986,0.29544607962392744
courage and hope,-43.508529126644135,-42.112403094768524,0.19843157139507983
cousins and uncles,-52.72711926679949,-49.79133063554764,0.05041249465376971
crannies and nooks,-62.7183440180379,-52.846446298994124,5.160204149428266e-5
cream and peaches,-51.67897342145443,-46.77569234371185,0.0073675072513390335
crime and poverty,-48.029380567371845,-46.379480734467506,0.1611224879051925
crime and punishment,-51.17394807934761,-55.547830909490585,0.9875546260617856
crime and violence,-44.70596504211426,-44.91485595703125,0.552033657008217
crops and livestock,-38.35140319168568,-41.829646207392216,0.9700623370336381
cysts and tumors,-55.126061245799065,-57.76233125641011,0.933159690530854
