ngram,count
and	lutes,7183
and	compass,317675
and	sunflower,371315
and	entropy,285047
and	haystack,12028
and	gnome,91805
casserole	and,213282
kaleidoscopes	and,5886
and	vineyard,144347
and	harmonica,115349
and	hedgehogs,33340
and	quill,51485
lava	and,274024
satellites	and,700141
nebula	and,140210
ibex	and,28514
photon	and,206685
parchment	and,229174
lutes	and,17913
and	keas,1081
axolotls	and,6009
ocarinas	and,2477
lantern	and,296077
and	linguist,41746
and	tulips,92282
and	syntax,387376
foxglove	and,15887
and	wolverines,29104
arcade	and,444274
honeycomb	and,90991
echo	and,598569
acorns	and,137160
and	ibex,14353
inkwell	and,15693
meadows	and,794048
ocelots	and,10953
and	volcanoes,139236
keas	and,1780
and	quilt,120049
dandelion	and,86029
carousel	and,218513
algorithm	and,2196458
hammock	and,207716
and	harpies,7479
and	encyclopedia,81039
microscope	and,580893
parrots	and,182009
and	teapot,16687
and	teacup,15626
and	headphones,281127
and	nebula,74231
notebook	and,1057625
beacon	and,212854
and	telescope,96784
and	bonobos,36136
and	quicksand,12707
and	onion,1519974
chisel	and,134799
and	chessboard,4050
aardvarks	and,5986
anchors	and,353652
and	narwhals,7131
and	orchard,173239
lighthouse	and,443118
and	puddle,27547
clockwork	and,76696
and	swan,142579
asteroid	and,118554
and	zebras,63902
and	lions,347621
and	saxophones,17943
nimbus	and,20759
cellos	and,59080
cinnamon	and,2028802
candlestick	and,42858
carnation	and,32371
and	whales,256424
and	stadium,178785
cymbals	and,139792
didgeridoos	and,4469
and	eagle,313150
and	jungles,68991
and	sloths,20620
capybaras	and,7419
and	kiwis,52465
compasses	and,55407
and	pianos,41800
and	violin,283440
and	marimbas,3367
clarinets	and,38585
compass	and,677736
and	perfume,220915
and	millipede,3028
and	toaster,84359
and	kettles,36093
and	optics,204173
bell	and,2170409
scissors	and,751614
and	waffle,121018
cactus	and,255591
coral	and,563588
and	pumpkin,787602
and	hydrogen,1202689
axolotl	and,8358
kalimbas	and,1480
castles	and,762113
and	volcano,80817
and	zenith,68590
crayons	and,321571
and	platypuses,3238
and	pyramids,76090
and	cathedral,149328
bicycle	and,894376
gallery	and,2801598
and	pendulum,35422
and	plow,93818
and	gingerbread,101124
and	windmill,35729
neuron	and,158589
and	snowman,28820
equations	and,1740844
botany	and,240841
magnets	and,479236
and	neckties,12119
and	skyscrapers,79166
cricket	and,1029009
and	wombats,13380
bonobos	and,35799
and	ocarinas,1034
and	topaz,50200
and	kalimbas,494
entropy	and,529949
and	microscope,41908
paperclips	and,22901
marshmallow	and,156017
and	screwdriver,40847
sailboat	and,91103
archway	and,52108
and	vibraphones,1923
glacier	and,364737
bungalow	and,119417
harbor	and,1095972
