WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
ability,age,"They questioned his X and Y in the interview, which he thought was unfair.",-44.67921590805054,-45.23692560195923
ability,desire,Maddie had both the X and Y to play college-level soccer.,-53.45738983154297,-54.70527791976929
ability,strength,Lisa had the X and Y to become a professional athlete.,-48.351457595825195,-49.605867862701416
action,character,Riley thought his lack of X and Y was too significant to overlook.,-52.68505382537842,-52.44746971130371
actions,feelings,He was confused because her X and Y were not matching up.,-54.014792919158936,-54.55295276641846
addresses,names,The company collected hundreds of X and Y for a petition they wanted to pass in June.,-52.35446071624756,-51.38654327392578
adventure,romance,The movie had a great balance of X and Y which made it a great success.,-48.820542335510254,-53.47024345397949
Africa,Asia,My colleague wanted to visit X and Y this year for a vacation with her husband.,-49.387415409088135,-49.04054117202759
age,day,Amanda said that in this X and Y you need to be tech-savy.,-52.88805437088013,-52.44946575164795
agencies,individuals,Many different X and Y worked together on this project.,-53.2136812210083,-52.33142137527466
aggression,hostility,"Sasha felt X and Y towards her brother, so she tried to avoid him.",-56.04479789733887,-55.45475149154663
agreements,contracts,Tony had to deal with many X and Y before he officially started working at the company.,-48.996729135513306,-49.974873781204224
aircraft,ships,The new X and Y ended up being extremely expensive.,-56.14509677886963,-56.456172943115234
ammunition,guns,The old man kept X and Y locked away in his basement in case of a zombie invasion.,-11.21281906310469,-8.689548386260867
anger,anxiety,Anne felt X and Y whenever she was stuck in traffic.,-58.289302825927734,-59.873902320861816
anger,fear,The abused dog showed both X and Y when animal control came to pick him up.,-58.47711944580078,-58.23000717163086
anger,hatred,Michelle felt a lot of X and Y towards her brother when he crashed her car.,-61.60009145736694,-64.79275560379028
anger,indignation,Amber felt X and Y after arguing with her sister.,-57.229493141174316,-57.64427185058594
anguish,pain,His injury caused him a lot of X and Y and a long recovery.,-44.764944076538086,-45.24689817428589
anthropology,psychology,He has figured out that X and Y are the subjects he wants to study in college.,-44.68317413330078,-43.42091417312622
apprehension,fear,Charlie felt X and Y before jumping out of the plane to skydive.,-54.39913320541382,-57.99197340011597
Arizona,California,The high school students visited both X and Y to tour colleges before they applied.,-49.58604335784912,-49.03271484375
arms,hands,Both Chelsea's X and Y are scraped up from falling off her bike.,-48.80837440490723,-48.244364738464355
arms,legs,Sandra broke her X and Y because she got into a bike accident.,-47.971035957336426,-48.29531192779541
arts,crafts,Lilly enjoys doing X and Y to relax when she is stressed.,-48.467365741729736,-49.02772378921509
arts,sciences,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.",-23.64407753944397,-26.598109781742096
attractions,repulsions,He experienced both X and Y which made him very confused.,-52.48328495025635,-56.06009101867676
aunt,uncle,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
",-12.001501023769379,-12.659791035577655
aunts,uncles,The family reunion had all the X and Y together in one room.,-46.077449798583984,-45.86001539230347
back,shoulders,Anthony got his X and Y adjusted by the chiropractor.,-51.959871768951416,-51.16714429855347
bacon,eggs,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.",-5.98615200817585,-7.197251159814186
bar,grill,We went to a X and Y in the city last night.,-44.79626131057739,-44.41327524185181
barley,oats,Susanne prepared X and Y for breakfast everyday for a week.,-44.906832695007324,-45.79421281814575
barrels,boxes,There were a lot of X and Y that needed to be moved before the event could start.,-35.873159408569336,-30.082534790039063
beauty,dignity,The girl had both X and Y but was lacking intelligence.,-53.18638896942139,-51.30820417404175
beauty,truth,I decided that X and Y would be the major themes of the poem I was writing.,-47.09446716308594,-48.810157775878906
beauty,youth,The serum promised X and Y to everyone who used it.,-54.28115510940552,-54.595497608184814
being,existence,The girl questioned her X and Y when she went to her last therapy session.,-52.83670711517334,-51.837690353393555
belly,chest,"Zack said his X and Y were hurting, so his mom took him to the hospital.",-33.59215211868286,-34.94740295410156
black,white,Dalmatians found in colors other than X and Y are highly unusual.,-52.39172172546387,-53.791404247283936
