,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
1,self-aggrandisement,self-confidence,1034,In the past year there had been too many examples of his euphoric self-confidence and self-aggrandisement for their liking .,-1,0,0,0,0,-1,-5.036609118,-1,0,0,0,NA,0.11119117,0.88880883,The businessman's speech was so full of X and Y that some of the audience left the room halfway through.,The businessman's speech was so full of self-aggrandisement and self-confidence that some of the audience left the room halfway through.,The businessman's speech was so full of self-confidence and self-aggrandisement that some of the audience left the room halfway through.,,,"""alpha""; 1; The businessman's speech was so full of self-aggrandisement and self-confidence that some of the audience left the room halfway through.","""nonalpha""; 1; The businessman's speech was so full of self-confidence and self-aggrandisement that some of the audience left the room halfway through."
2,retribution,violence,1216,But they could taste the appeasement of violence and retribution through his antics .,0,0,0,0,-1,-1,-2.964253125,-1,1,0,835,0.1053892216,0.14624378,0.85375622,Before resorting to X and Y other measures should be taken to resolve the conflict.,Before resorting to retribution and violence other measures should be taken to resolve the conflict.,Before resorting to violence and retribution other measures should be taken to resolve the conflict.,,,"""alpha""; 2; Before resorting to retribution and violence other measures should be taken to resolve the conflict.","""nonalpha""; 2; Before resorting to violence and retribution other measures should be taken to resolve the conflict."
3,bake-oven,well,"After the usual Honorable Sirs , it went on *-2 to say that there had been set off to the widow one full third part of the real estate of the deceased Salu Norberg , one lower room , on the Western side , privileges to the well and bake-oven and to one third of the cellar -LRB- I can show you the cellar when we go up *T*-3 -RRB- , also one Cow Right , and lastly they set off to the widow her own land that she brought *T*-1 with her as dower , namely the Beech Pasture .","After the usual Honorable Sirs , it went on *-2 to say that there had been set off to the widow one full third part of the real estate of the deceased Salu Norberg , one lower room , on the Western side , privileges to the well and bake-oven and to one third of the cellar -LRB- I can show you the cellar when we go up *T*-3 -RRB- , also one Cow Right , and lastly they set off to the widow her own land that she brought *T*-1 with her as dower , namely the Beech Pasture .",x,x,,yes,,,,,,-1,0,NA,0.1486072,0.8513928,x,x,x,,yes,"""alpha""; 3; x","""nonalpha""; 3; x"
4,hanover,portsmouth,503,A road had *-2 to be hacked *-1 through trackless forests between Hanover and Portsmouth * to permit Governor Wentworth and a company of gentlemen to attend the first Dartmouth commencement in 1771 .,0,0,1,0,0,1,0.1798045063,-1,-1,0,0,NA,0.848126,0.848126,x,x,x,,,"""alpha""; 4; x","""nonalpha""; 4; x"
5,grandfather,great-grandfather,478,Each boy opened his small mouth *-1 wide and rocked back and forth on the bench in the way 0 his grandfather and great-grandfather had studied and prayed in the ghettos of Europe *T*-2 .,1,0,0,-1,0,1,2.823920391,1,0,0,0,NA,0.84094984,0.84094984,Mr. Walton's X and Y were scholars in the same field as well.,Mr. Walton's grandfather and great-grandfather were scholars in the same field as well.,Mr. Walton's great-grandfather and grandfather were scholars in the same field as well.,,,"""alpha""; 5; Mr. Walton's grandfather and great-grandfather were scholars in the same field as well.","""nonalpha""; 5; Mr. Walton's great-grandfather and grandfather were scholars in the same field as well."
6,design,outline,"He rummaged , found composers and arrangers , collaborated on the main design and outline of harmonization with musicians , ballad singers , and musicologists .","He rummaged , found composers and arrangers , collaborated on the main design and outline of harmonization with musicians , ballad singers , and musicologists .","The composition's main design and outline was the product of collaboration with musicians, ballad singers, and musicologists.","The composition's main outline and design was the product of collaboration with musicians, ballad singers, and musicologists.",,,,,,,,0,446,0.4730941704,0.83324034,0.83324034,"The composition's main X and Y was the product of collaboration with musicians, ballad singers, and musicologists.","The composition's main design and outline was the product of collaboration with musicians, ballad singers, and musicologists.","The composition's main outline and design was the product of collaboration with musicians, ballad singers, and musicologists.",,,"""alpha""; 6; The composition's main design and outline was the product of collaboration with musicians, ballad singers, and musicologists.","""nonalpha""; 6; The composition's main outline and design was the product of collaboration with musicians, ballad singers, and musicologists."
7,distinction,tone,"As for this rider , I never saw him before or afterwards and never saw him dismounted , so whether he stood tall or short in his shoes , I ca n't say ; ; but I do know that he gave the day tone and distinction .","As for this rider , I never saw him before or afterwards and never saw him dismounted , so whether he stood tall or short in his shoes , I ca n't say ; ; but I do know that he gave the day tone and distinction .",The rider gave the day distinction and tone by breaking the world record.,The rider gave the day tone and distinction by breaking the world record.,"kind of weird to use the demonstrative ""this"" without a referent. I'd just go with ""the"".",,,,,,,-1,127,0,0.1686819,0.8313181,The rider gave the day X and Y by breaking the world record.,The rider gave the day distinction and tone by breaking the world record.,The rider gave the day tone and distinction by breaking the world record.,"kind of weird to use the demonstrative ""this"" without a referent. I'd just go with ""the"".",,"""alpha""; 7; The rider gave the day distinction and tone by breaking the world record.","""nonalpha""; 7; The rider gave the day tone and distinction by breaking the world record."
8,clothes,spoilables,He drew a long breath and opened the trunk and hung out her clothes and spoilables upon the wagon ribs .,He drew a long breath and opened the trunk and hung out her clothes and spoilables upon the wagon ribs .,x,x,spoilables,yes,,,,,,1,0,NA,0.83127486,0.83127486,x,x,x,spoilables,yes,"""alpha""; 8; x","""nonalpha""; 8; x"
9,bicep,forearm,"He was on the thin side , with big hands , and the kind of wrists that *T*-1 give away the power in forearm and bicep .","He was on the thin side , with big hands , and the kind of wrists that *T*-1 give away the power in forearm and bicep .",His wrists hints the strength in his bicep and forearm although he looks relatively thin.,His wrists hints the strength in his forearm and bicep although he looks relatively thin.,I can't articulate why but this sentence sounds weird to me. Maybe rewrite it?,,,,,,,-1,310,0.4806451613,0.1710491,0.8289509,I was impressed by the strength in the man's X and Y although he looks relatively thin.,I was impressed by the strength in the man's bicep and forearm although he looks relatively thin.,I was impressed by the strength in the man's forearm and bicep although he looks relatively thin.,I can't articulate why but this sentence sounds weird to me. Maybe rewrite it?,,"""alpha""; 9; I was impressed by the strength in the man's bicep and forearm although he looks relatively thin.","""nonalpha""; 9; I was impressed by the strength in the man's forearm and bicep although he looks relatively thin."
10,delirium,illness,The story ends in the child 's illness and delirium 0 *T*-1 brought on by the feverish compulsion * to ride his horse * to win for his mother .,The story ends in the child 's illness and delirium 0 *T*-1 brought on by the feverish compulsion * to ride his horse * to win for his mother .,The story ends in the child 's delirium and illness without telling the readers if his mother ever made it back.,The story ends in the child 's illness and delirium without telling the readers if his mother ever made it back.,,,,,,,,0,235,0,0.17565599,0.82434401,The story ends in the child 's X and Y without telling the readers if his mother ever made it back.,The story ends in the child 's delirium and illness without telling the readers if his mother ever made it back.,The story ends in the child 's illness and delirium without telling the readers if his mother ever made it back.,,,"""alpha""; 10; The story ends in the child 's delirium and illness without telling the readers if his mother ever made it back.","""nonalpha""; 10; The story ends in the child 's illness and delirium without telling the readers if his mother ever made it back."
11,temperature,wind-velocity,1143,"As daylight began *-1 to show through the frosty windows , Fogg would place a call to William A. Shaw at the U.S. Weather Station at Northfield , Vermont , for temperature and wind-velocity readings .",0,0,1,0,0,0,9.522391147,1,-1,0,0,NA,0.82295418,0.82295418,Edward checked the X and Y before setting out to the field.,Edward checked the temperature and wind-velocity before setting out to the field.,Edward checked the wind-velocity and temperature before setting out to the field.,,,"""alpha""; 11; Edward checked the temperature and wind-velocity before setting out to the field.","""nonalpha""; 11; Edward checked the wind-velocity and temperature before setting out to the field."
12,fishers,mooncursers,407,"On the shores north and south , the fishers and mooncursers -- smugglers -- lived along the churning Great South Bay and the narrow barrier of sand , Fire Island .",0,1,0,0,0,0,12.46021474,1,1,0,0,NA,0.81965124,0.81965124,x,x,x,,,"""alpha""; 12; x","""nonalpha""; 12; x"
13,reference,withdrawal,965,"My memory has catalogued for easy reference and withdrawal the image of her pink , scented stationery and the unsloped , almost printed configurations of her neat , studious handwriting with which she invited me *-3 to recall our summer *T*-4 , so many sentences beginning with `` Remember when ; ; '' and others concerning camp friends who *T*-1 resided in her suburban neighborhood , , and news of her commencing again her piano lessons , her private school , a visit to Boston 0 * to see her grandparents *T*-5 and an uncle who *T*-2 was a surgeon returned on furlough , *-6 wounded , from the war in Europe .",0,0,0,0,0,1,1.814972506,-1,-1,0,0,NA,0.81179882,0.81179882,Greta's memory has stored for X and Y the locations of nice restaurants in town.,Greta's memory has stored for reference and withdrawal the locations of nice restaurants in town.,Greta's memory has stored for withdrawal and reference the locations of nice restaurants in town.,,,"""alpha""; 13; Greta's memory has stored for reference and withdrawal the locations of nice restaurants in town.","""nonalpha""; 13; Greta's memory has stored for withdrawal and reference the locations of nice restaurants in town."
14,attraction,conflict,"Into the texture of this tapestry of history and human drama Henrietta , as every artist delights *-1 to do , wove strands of her own intuitive insights into human nature and -- especially in the remarkable story of the attraction and conflict between two so disparate and fervent characters as this pair -- into the relations of men and women : `` In their relations , she was the giver and he the receiver , nay the demander .","Into the texture of this tapestry of history and human drama Henrietta , as every artist delights *-1 to do , wove strands of her own intuitive insights into human nature and -- especially in the remarkable story of the attraction and conflict between two so disparate and fervent characters as this pair -- into the relations of men and women : `` In their relations , she was the giver and he the receiver , nay the demander .","Clearly, both attraction and conflict existed between the two main characters.","Clearly, both conflict and attraction existed between the two main characters.",,,,,,,,0,77,1,0.80394593,0.80394593,"Clearly, both X and Y existed between the two main characters.","Clearly, both attraction and conflict existed between the two main characters.","Clearly, both conflict and attraction existed between the two main characters.",,,"""alpha""; 14; Clearly, both attraction and conflict existed between the two main characters.","""nonalpha""; 14; Clearly, both conflict and attraction existed between the two main characters."
15,exasperation,love,"`` Darling '' -- she said *T*-1 , and the single word mingled love and exasperation in an equal blend .","`` Darling '' -- she said *T*-1 , and the single word mingled love and exasperation in an equal blend .",The single word she said mingled exasperation and love in an equal blend.,The single word she said mingled love and exasperation in an equal blend.,,,,,,,,-1,235,0.2255319149,0.20054353,0.79945647,The single word she said mingled X and Y in an equal blend.,The single word she said mingled exasperation and love in an equal blend.,The single word she said mingled love and exasperation in an equal blend.,,,"""alpha""; 15; The single word she said mingled exasperation and love in an equal blend.","""nonalpha""; 15; The single word she said mingled love and exasperation in an equal blend."
