WordA,WordB,binom,alpha_logprob,nonalpha_logprob,model,prompt_value,prompt_text,preference
kiwis,wolverines,kiwis and wolverines,-39.8592643737793,-39.240135192871094,gpt2xl,0,Next item: ,-0.6191291809082031
kiwis,narwhals,kiwis and narwhals,-37.72975158691406,-35.95228958129883,gpt2xl,0,Next item: ,-1.7774620056152344
kiwis,ocelots,kiwis and ocelots,-39.40483856201172,-34.835514068603516,gpt2xl,0,Next item: ,-4.569324493408203
ibex,kiwis,ibex and kiwis,-37.24869155883789,-40.178077697753906,gpt2xl,0,Next item: ,2.9293861389160156
harpies,kiwis,harpies and kiwis,-35.78266906738281,-41.48847579956055,gpt2xl,0,Next item: ,5.705806732177734
axolotls,wolverines,axolotls and wolverines,-37.93414306640625,-38.543121337890625,gpt2xl,0,Next item: ,0.608978271484375
axolotls,ibex,axolotls and ibex,-38.44070816040039,-36.61845397949219,gpt2xl,0,Next item: ,-1.8222541809082031
axolotls,harpies,axolotls and harpies,-38.18661117553711,-35.99000930786133,gpt2xl,0,Next item: ,-2.1966018676757812
axolotls,keas,axolotls and keas,-39.974464416503906,-40.137020111083984,gpt2xl,0,Next item: ,0.16255569458007812
axolotls,bonobos,axolotls and bonobos,-35.53076171875,-37.4032096862793,gpt2xl,0,Next item: ,1.8724479675292969
axolotls,wombats,axolotls and wombats,-37.17098617553711,-36.70169448852539,gpt2xl,0,Next item: ,-0.46929168701171875
axolotls,lions,axolotls and lions,-36.988685607910156,-36.125770568847656,gpt2xl,0,Next item: ,-0.8629150390625
ocelots,platypuses,ocelots and platypuses,-34.937660217285156,-39.0285530090332,gpt2xl,0,Next item: ,4.090892791748047
ibex,platypuses,ibex and platypuses,-38.689430236816406,-39.63166046142578,gpt2xl,0,Next item: ,0.942230224609375
harpies,platypuses,harpies and platypuses,-34.438602447509766,-38.6204948425293,gpt2xl,0,Next item: ,4.181892395019531
keas,platypuses,keas and platypuses,-40.566410064697266,-39.448944091796875,gpt2xl,0,Next item: ,-1.1174659729003906
bonobos,platypuses,bonobos and platypuses,-36.01191329956055,-38.11893844604492,gpt2xl,0,Next item: ,2.107025146484375
harpies,wolverines,harpies and wolverines,-36.111236572265625,-36.770606994628906,gpt2xl,0,Next item: ,0.6593704223632812
keas,wolverines,keas and wolverines,-39.986392974853516,-41.048282623291016,gpt2xl,0,Next item: ,1.0618896484375
bonobos,wolverines,bonobos and wolverines,-37.22418212890625,-37.10728073120117,gpt2xl,0,Next item: ,-0.11690139770507812
capybaras,ibex,capybaras and ibex,-37.07709503173828,-34.814422607421875,gpt2xl,0,Next item: ,-2.2626724243164062
capybaras,harpies,capybaras and harpies,-36.62940979003906,-35.900367736816406,gpt2xl,0,Next item: ,-0.7290420532226562
capybaras,keas,capybaras and keas,-36.81718826293945,-40.743568420410156,gpt2xl,0,Next item: ,3.926380157470703
ibex,narwhals,ibex and narwhals,-37.45418930053711,-36.08498001098633,gpt2xl,0,Next item: ,-1.3692092895507812
harpies,narwhals,harpies and narwhals,-35.45864486694336,-37.06463623046875,gpt2xl,0,Next item: ,1.6059913635253906
keas,narwhals,keas and narwhals,-40.30477523803711,-38.76603698730469,gpt2xl,0,Next item: ,-1.5387382507324219
ibex,ocelots,ibex and ocelots,-34.59352493286133,-36.728755950927734,gpt2xl,0,Next item: ,2.1352310180664062
keas,ocelots,keas and ocelots,-40.3003044128418,-36.508121490478516,gpt2xl,0,Next item: ,-3.7921829223632812
bonobos,ocelots,bonobos and ocelots,-35.07439422607422,-33.662376403808594,gpt2xl,0,Next item: ,-1.412017822265625
harpies,ibex,harpies and ibex,-37.873504638671875,-39.5838508605957,gpt2xl,0,Next item: ,1.7103462219238281
ibex,keas,ibex and keas,-37.608116149902344,-40.431617736816406,gpt2xl,0,Next item: ,2.8235015869140625
bonobos,ibex,bonobos and ibex,-35.0568962097168,-35.057613372802734,gpt2xl,0,Next item: ,0.0007171630859375
ibex,koalas,ibex and koalas,-34.23922348022461,-35.077816009521484,gpt2xl,0,Next item: ,0.838592529296875
