binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-33.228954304941,-38.045185641851276,0.9919677932503128,4.816231336910278
black and white,-39.557566934265196,-42.02184520009905,0.921599342725897,2.4642782658338547
day and night,-40.15775808226317,-39.43812853097916,0.3274745634805868,-0.7196295512840152
boys and girls,-24.134414970874786,-25.37649267911911,0.7759254623877101,1.2420777082443237
left and right,-18.72280840575695,-19.740158289670944,0.7344560676345206,1.0173498839139938
female and male,-39.43754613742931,-38.030963312630774,0.19677359412773504,-1.4065828247985337
father and mother,-40.11470131576061,-37.644620697945356,0.07798243841629125,-2.470080617815256
goods and services,-55.22268691658974,-58.07485789060593,0.9454307947586308,2.8521709740161896
north and south,-46.03517390723573,-46.04503714852035,0.502465790331122,0.009863241284620017
development and research,-55.855207642540336,-49.79905838891864,0.0023379286836814218,-6.056149253621697
place and time,-48.517135108821094,-46.744896763935685,0.14526418969689414,-1.7722383448854089
death and life,-37.48388351430185,-34.293021698249504,0.03951106070357485,-3.1908618160523474
brothers and sisters,-39.65832699276507,-43.067931555211544,0.9680033569457165,3.409604562446475
husband and wife,-53.421748825814575,-55.76282146712765,0.9122220127776858,2.341072641313076
gas and oil,-56.989279720932245,-56.32274280488491,0.33927271640097495,-0.6665369160473347
pepper and salt,-41.3657109439373,-36.61958186235279,0.008610466060353195,-4.746129081584513
fall and rise,-66.87049179431051,-60.90743262227625,0.0025654332617545193,-5.963059172034264
arms and legs,-42.02702577912714,-45.22457591211423,0.9607419802183004,3.1975501329870895
fruits and vegetables,-48.533229706808925,-49.879030358977616,0.7934422381996202,1.3458006521686912
arts and sciences,-55.07634452207094,-58.95856736807218,0.9798110208042288,3.882222846001241
gentlemen and ladies,-62.190437696292065,-58.24306886584964,0.018939790061968186,-3.9473688304424286
feelings and thoughts,-63.40307893307181,-60.781955441925675,0.06779125938931903,-2.621123491146136
diagnosis and treatment,-53.32489695510594,-57.43250269885175,0.9838190242149623,4.107605743745808
groups and individuals,-44.66300770640373,-41.645311230793595,0.04663277809024814,-3.017696475610137
knowledge and skills,-51.05637145685614,-50.17376387762488,0.2926377159892814,-0.8826075792312622
heart and mind,-39.892144940793514,-41.706221361644566,0.8598538252448477,1.8140764208510518
influence and power,-40.970300052315,-39.75474321376532,0.22871930950647967,-1.2155568385496736
Africa and Asia,-48.823308961931616,-48.1451293383725,0.33666771278113816,-0.6781796235591173
addresses and names,-64.53419023286551,-59.067857613787055,0.004208914864727904,-5.466332619078457
poetry and prose,-35.73055840609595,-36.07048028707504,0.5841715467664551,0.33992188097909093
forefinger and thumb,-53.10507768018579,-52.86776699540496,0.4409491962388668,-0.23731068478082307
minerals and vitamins,-27.127791290475216,-25.75784539758024,0.202628588388608,-1.3699458928949753
fall and winter,-59.94382130168378,-63.09463528171182,0.9589407829016642,3.1508139800280333
light and shadow,-35.95694614201784,-39.18315812200308,0.9618088523165694,3.226211979985237
honey and milk,-48.13449657056481,-47.65954819818944,0.3834457009550344,-0.4749483723753656
nose and throat,-44.84169448364992,-45.781600528163835,0.7190806784553371,0.9399060445139185
