column_values,Freq
firepower and speed,28.125
gloom and foreboding,100
education and industrialization,93.75
commercialism and materialism,68.75
abasement and humiliation,100
intonation and phrasing,100
alibis and excuses,34.375
color and imagery,31.25
blame and hate,12.5
liberalism and progress,40.625
disdain and indifference,87.5
gaiety and spirit,90.625
caresses and endearments,31.25
flight and terror,100
letters and magazines,68.75
men and women,53.125
black and white,100
day and night,3.125
boys and girls,46.875
left and right,65.625
female and male,21.875
mr and mrs,100
father and mother,59.375
goods and services,100
north and south,100
research and development,100
time and place,100
life and death,100
brothers and sisters,56.25
husband and wife,93.75
bread and butter,100
